state_name,latitude,longitude,count
MA,42.36687438334181,-71.06462539180804,6467
FL,28.512312806398036,-81.38583029440099,5401
BC,49.24735443447087,-123.05818213361135,4731
OR,45.50260081651081,-122.6699376176347,4229
GA,33.79791290813591,-84.37297116465157,3923
TX,30.28733916961491,-97.76195961788345,3158
OH,40.02060733773948,-82.99294948579488,3108
WA,45.640705618424064,-122.59320122877105,532
CO,40.013312189094165,-105.23435200494468,497
KY,37.3217187305,-84.9270851203,1
